,tags,freq,type
0,jdm,3,comment
1,rotary,3,comment
2,japanesecarauction,2,comment
3,japaneseimport,2,comment
4,bluelineexports,2,comment
5,japimport,2,comment
6,usedcarsinjapan,2,comment
7,mazdarx7,2,comment
8,mondays,1,comment
9,eehhh,1,comment
10,ikimbois,1,comment
11,ikimobilekoferry,1,comment
12,eargasm,1,comment
13,cosmo,1,comment
14,cosmo20b,1,comment
15,eunos,1,comment
16,mazdacosmo,1,comment
17,20brotary,1,comment
18,eunoscosmo,1,comment
19,20b,1,comment
20,jcese,1,comment
21,fd3s,1,comment
22,efinirx7,1,comment
23,efini,1,comment
24,rx7,1,comment
25,rx7typerb,1,comment
26,autonetmagz,1,comment
27,renesis,1,comment
28,reamemiya,1,comment
29,doodlesofinstagram,1,comment
30,thewindrises,1,comment
31,zoomzoom,1,comment
32,13b,1,comment
33,touge,1,comment
34,twinrotor,1,comment
35,initiald,1,comment
36,petrolhead,1,comment
37,sportscar,1,comment
38,art,1,comment
39,cardrawing,1,comment
40,inked,1,comment
41,japanese,1,comment
42,turbo,1,comment
43,luxury,1,comment
44,lifestyle,1,comment
45,uk,1,comment
46,sale,1,comment
47,excellence,1,comment
48,bentley,1,comment
49,brighton,1,comment
50,race,1,comment
51,need,1,comment
52,luxurylifestyle,1,comment
53,astonmartin,1,comment
54,change,1,comment
55,manchester,1,comment
56,bayside,1,comment
57,wilmslow,1,comment
58,cars,1,comment
59,mcr,1,comment
60,style,1,comment
61,upgrade,1,comment
62,goals,1,comment
63,mclaren,1,comment
64,exotic,1,comment
65,luxe,1,comment
66,family,1,comment
67,lexus,1,comment
68,glamour,1,comment
69,melbourne,1,comment
70,changeisgood,1,comment
71,luxurycars,1,comment
72,,1,comment
73,toyota,1,comment
74,volvo,1,comment
75,bmw,1,comment
76,goodstuff,1,comment
77,nissan,52,caption
78,toyota,50,caption
79,lexus,45,caption
80,bmw,45,caption
81,ford,41,caption
82,lamborghini,40,caption
83,ferrari,40,caption
84,mercedesbenz,39,caption
85,honda,35,caption
86,subaru,29,caption
87,mitsubishi,29,caption
88,kia,24,caption
89,detailing,23,caption
90,mercedes,22,caption
91,audi,21,caption
92,autodetailing,21,caption
93,volkswagen,21,caption
94,skoda,21,caption
95,volvo,21,caption
96,ceramiccoating,21,caption
97,bugatti,20,caption
98,opel,20,caption
99,jaguar,20,caption
100,glasscoating,20,caption
101,carcare,20,caption
102,shinemate,20,caption
103,osaka99,20,caption
104,wax,20,caption
105,ceramic,20,caption
106,porsche,19,caption
107,bentley,19,caption
108,maserati,19,caption
109,rollsroyce,19,caption
110,cargirl,19,caption
111,infinity,19,caption
112,landrover,18,caption
113,avtocar,18,caption
114,rzn,18,caption
115,russiaavto,18,caption
116,rx7,14,caption
117,jdm,12,caption
118,rotary,9,caption
119,mx5,9,caption
120,drift,8,caption
121,mazdaspeed,7,caption
122,mazda3,7,caption
123,rx8,7,caption
124,miata,7,caption
125,acura,6,caption
126,mazdarx7,6,caption
127,car,6,caption
128,13b,5,caption
129,fd3s,5,caption
130,wrx,5,caption
131,evo,5,caption
132,stance,5,caption
133,hyundai,5,caption
134,topmiata,4,caption
135,stancenation,4,caption
136,turbo,4,caption
137,suzuki,4,caption
138,2jz,3,caption
139,boost,3,caption
140,sti,3,caption
141,nismo,3,caption
142,r34,3,caption
143,supra,3,caption
144,drive,3,caption
145,gtr,3,caption
146,jdmgram,3,caption
147,twinturbo,3,caption
148,tuner,3,caption
149,bridgeport,3,caption
150,rotarypower,3,caption
151,racecar,3,caption
152,carporn,3,caption
153,auto,3,caption
154,renault,3,caption
155,tnavto79067640022,3,caption
156,isuzu,3,caption
157,infiniti,3,caption
158,daihatsu,3,caption
159,roadster,3,caption
160,mazdarx8,3,caption
161,20b,3,caption
162,zoomzoom,3,caption
163,miatagang,3,caption
164,mx5nutz,3,caption
165,volkracing,2,caption
166,fc3s,2,caption
167,reamemiya,2,caption
168,evo8,2,caption
169,evo9,2,caption
170,350z,2,caption
171,r32,2,caption
172,brz,2,caption
173,vw,2,caption
174,mazdacx3,2,caption
175,loweredlifestyle,2,caption
