,tags,freq,type
0,jdm,3,comment
1,rotary,3,comment
2,japanesecarauction,2,comment
3,japaneseimport,2,comment
4,bluelineexports,2,comment
5,japimport,2,comment
6,usedcarsinjapan,2,comment
7,mazdarx7,2,comment
8,mondays,1,comment
9,eehhh,1,comment
10,ikimbois,1,comment
11,ikimobilekoferry,1,comment
12,eargasm,1,comment
13,cosmo,1,comment
14,cosmo20b,1,comment
15,eunos,1,comment
16,mazdacosmo,1,comment
17,20brotary,1,comment
18,eunoscosmo,1,comment
19,20b,1,comment
20,jcese,1,comment
21,fd3s,1,comment
22,efinirx7,1,comment
23,efini,1,comment
24,rx7,1,comment
25,rx7typerb,1,comment
26,autonetmagz,1,comment
27,renesis,1,comment
28,reamemiya,1,comment
29,doodlesofinstagram,1,comment
30,thewindrises,1,comment
31,zoomzoom,1,comment
32,13b,1,comment
33,touge,1,comment
34,twinrotor,1,comment
35,initiald,1,comment
36,petrolhead,1,comment
37,sportscar,1,comment
38,art,1,comment
39,cardrawing,1,comment
40,inked,1,comment
41,japanese,1,comment
42,turbo,1,comment
43,luxury,1,comment
44,lifestyle,1,comment
45,uk,1,comment
46,sale,1,comment
47,excellence,1,comment
48,bentley,1,comment
49,brighton,1,comment
50,race,1,comment
51,need,1,comment
52,luxurylifestyle,1,comment
53,astonmartin,1,comment
54,change,1,comment
55,manchester,1,comment
56,bayside,1,comment
57,wilmslow,1,comment
58,cars,1,comment
59,mcr,1,comment
60,style,1,comment
61,upgrade,1,comment
62,goals,1,comment
63,mclaren,1,comment
64,exotic,1,comment
65,luxe,1,comment
66,family,1,comment
67,lexus,1,comment
68,glamour,1,comment
69,melbourne,1,comment
70,changeisgood,1,comment
71,luxurycars,1,comment
72,,1,comment
73,toyota,1,comment
74,volvo,1,comment
75,bmw,1,comment
76,goodstuff,1,comment
