,Hashtag,tot_posts,User_ID,Username,Profile_Pic_URL,Media_ID,Picture_Location,tot_comments,tot_likes,video_views,Main_Caption,List_Of_Hashtags_Caption,List_Of_Users_ID,List_Of_Comments,List_0f_Hashtags_Comments,User_Bio,Body_Media_URL,Media_URL,FileName,scrape_ts
1,mx5,921412,5399935402,motief_,https://instagram.fprg2-1.fna.fbcdn.net/vp/14590ee02f2816fb5bf2f70d90c26971/5B0BA33C/t51.2885-19/s150x150/18380320_220981028395597_2235765850365755392_a.jpg,BfHkuVYlE86,NA,0,15,not_a_video,#mazda #miata #mx5 #motief #domoreofwhatmakesyouhappy #happyasfuck,"['miata', 'mazda', 'domoreofwhatmakesyouhappy', 'mx5', 'motief', 'happyasfuck']",[],[],[],,https://www.instagram.com/p/BfHkuVYlE86,https://instagram.fprg2-1.fna.fbcdn.net/vp/03860b7f84a6969c6d36438173b70131/5B02813E/t51.2885-15/s640x640/sh0.08/e35/27573712_1988974364754675_1078305527399710720_n.jpg,BfHkuVYlE86.jpg,2018-02-13 16:38:16
2,mx5,921412,6712085432,devillion_pcr,https://instagram.fprg2-1.fna.fbcdn.net/vp/b1ee52e457582697a4ce59c76626a6ad/5B05B2EE/t51.2885-19/s150x150/27582233_159483998037276_7789883743551881216_n.jpg,BfHpoUZnhTY,NA,0,22,not_a_video,"My MX-5 for the #gonzaswagcontest DRIFT SPEC
INFO : - Swapped 2JZ
- Wipple Supercharger
- Holborn Scoop
- Blastipipes Exhaust
- Speed : 446 KM/H
- 1972 HP
- Weight : 2728 - 360 wing
- Pride racing seat
- Wrap : Camouflage B/G/W
(blue/grey/white)

OBS : I removed the rear and put the pro drag front bumper. (I believe it's for being more lighter [ wrong word ? my English sucks] so I hope you enjoy it)

#dopepixels #pcr #mazda #mx5 #driftcar","['driftcar', 'mazda', 'mx5', 'gonzaswagcontest', 'pcr', 'dopepixels']",[],[],[],,https://www.instagram.com/p/BfHpoUZnhTY,https://instagram.fprg2-1.fna.fbcdn.net/vp/2f667ba07241d3c2c4badb36f1e14592/5B1D0B49/t51.2885-15/s640x640/sh0.08/e35/27581271_165702974210032_3690544343799562240_n.jpg,BfHpoUZnhTY.jpg,2018-02-13 16:38:16
3,mx5,921412,12486503,kenchi_al_dente,https://instagram.fprg2-1.fna.fbcdn.net/vp/43a10f6e622035ad19b722884522bf3d/5B095FCD/t51.2885-19/11349370_405894022954204_815908394_a.jpg,BfHzGJdA5FZ,"Higashihiroshima-shi, Hiroshima, Japan",2,100,not_a_video,"今朝の広島も雪模様
#snowday #mx5 #ndmx5 #mx5nd #miata 
#hiroshima #snow #coldmorning 
#雪 #寒い #寒い朝
#ロードスター #ロードスターnd #ndロードスター #オープンカー #広島","['', 'coldmorning', 'miata', 'nd', 'snowday', 'snow', 'hiroshima', 'mx5nd', 'ndmx5', 'mx5']","['3158538046', '2250295168']","['@kenchi_al_dente さん\u3000こんばんは。雪とロードスターですか。NAに乗っていた頃は東広島に住んでいましたが，ブールバールの坂道発進でどうしてもケツを振る（チェーンだったっていうのもありますw）ので，手に汗握りながら運転していたのを思い出しました。', 'いいですね！']",[],,https://www.instagram.com/p/BfHzGJdA5FZ,https://instagram.fprg2-1.fna.fbcdn.net/vp/77fd63b8174352c6c416584bac403b6d/5B11F037/t51.2885-15/s640x640/sh0.08/e35/27581488_1973657502954411_31395888811212800_n.jpg,BfHzGJdA5FZ.jpg,2018-02-13 16:38:17
4,mx5,921412,2347999582,vamos12nkzw,https://instagram.fprg2-1.fna.fbcdn.net/vp/14ed41172b8aed5a0674bc77a38a4128/5B16A845/t51.2885-19/s150x150/27581427_183504165746905_4408827823909765120_n.jpg,BfI2-lYhH7c,NA,0,34,not_a_video,"Produced by @yoshida5_ 
#mazda #roadster #MX5 #Miata
#beadriver #jdm #1989 #NA #Wrsm
#roadsters #1998 #NB #eunos
#2005 #NC #zoomzoom #mazdaspeed #opencar #2015 #ND #pervert","['opencar', 'nd', 'na', 'roadster', 'mazdaspeed', 'jdm', 'wrsm', 'mx5', '1989', '2015', '1998', 'miata', 'mazda', 'pervert', 'roadsters', 'beadriver', '2005', 'nb', 'nc', 'eunos', 'zoomzoom']",[],[],[],,https://www.instagram.com/p/BfI2-lYhH7c,https://instagram.fprg2-1.fna.fbcdn.net/vp/82d64f1bec4effbaa4d9e93851115d31/5B1DE656/t51.2885-15/sh0.08/e35/p640x640/27578825_940480462779588_1090897731561455616_n.jpg,BfI2-lYhH7c.jpg,2018-02-13 16:38:18
5,mx5,921412,631196706,oh_look_a_penny_,https://instagram.fprg2-1.fna.fbcdn.net/vp/23e893b54ca3ae465ebee551316e7d99/5B061B56/t51.2885-19/s150x150/26072283_1556832701060701_2525076844584108032_n.jpg,BfH3u_6lDUD,NA,0,14,not_a_video,"big plans

#yatayakuza #miata #mazdamiata #mazdamx5 #mx5 #cultmazda #mazda","['yatayakuza', 'miata', 'mazda', 'mazdamiata', 'cultmazda', 'mx5', 'mazdamx5']",[],[],[],,https://www.instagram.com/p/BfH3u_6lDUD,https://instagram.fprg2-1.fna.fbcdn.net/vp/e6d4e5deadffcdd9679755d46335b1a8/5B195F29/t51.2885-15/sh0.08/e35/p640x640/27573755_333147747171542_393836341990785024_n.jpg,BfH3u_6lDUD.jpg,2018-02-13 16:38:19
6,mx5,921412,15707032,yobiworld,https://instagram.fprg2-1.fna.fbcdn.net/vp/f77bc923d4071ab37f2df372f008e212/5B0C8B34/t51.2885-19/s150x150/25016144_135902817083622_4285265510339182592_n.jpg,BfILg9wBhfK,"Phoenix, Arizona",15,54,not_a_video,"악돌이는 잘 살고 있습니다.
.
#daily #mx5 #miata #nd #club #phoenix #arizona #winter #season #daily #snap #goodlife #miatagang #miatagram #miatalife #악돌이 #미아타 #데일리 #겨울 #피닉스 #스냅","['club', '', 'goodlife', 'miatalife', 'season', 'miata', 'miatagang', 'nd', 'miatagram', 'daily', 'phoenix', 'mx5', 'winter', 'arizona', 'snap']","['6165609068', '2218270213', '940787243', '15707032', '15707032', '2218270213', '15707032', '15707032', '2218270213', '15707032', '2218270213', '15707032', '15707032', '2218270213', '1361646922']","['@goys215 아직 싱싱하쥬?ㅋㅋㅋ', '@miatazgonewild Oh yeah, Miata deserves to be kept clean', 'Clean Miata!', '@yobiworld 감사합니다ㅜ 정식 들어온다면 노려보고싶네요 ㅜ 시합 나가보고 할게 아니다 맘이들면 아마 벨엔도 안사겠죠 ㅜㅎ 그 이후 차로는 생각해본적도 없어서 아직은... ㅜㅎ', '@goys215 운전석 문짝 상처도 이제 눈에 잘 안띕니다ㅎㅎ 국내엔 회색 미아타는 없나요?', '미국비행유학상담 하시나요?', '@kz_dart 저도 그쪽의 열정을 응원합니다', '@yobiworld 약간 이 미아타는 불가능하다는 말 같아 조금 속상하네요 ㅜㅎ 내년 벨로N전도 나올거같아 올 아스전  나가고 기변할까도 생각중이네요..^^', '@goys215 정말 얼마나 좋아하시는지 보이니까 벨로스터 N 구매하실 돈이면 어떻게든 미아타를 타셨으면 좋겠어요ㅠㅠ', '@goys215 아직은 계획이지만 한국에서 3년 후에 E43 기추할까 하는데 E43에 미아타 조합이면 제 취향으론 퍼펙트할 것 같아서 판매할 것 같지가 않아요ㅜㅜ', '@yobiworld 제맘속엔.ㅜ ㅋㅋ보고싶을뿐입니다..ㅎ', '@yobiworld 같은세대 모델로는 흰차만 딱 한번 보았습니다 ㅜ 같은 광주 차고 중고로 나와있지만 이차 아니면 안되겠는 이상한....뭔가가...그렇네요 ㅎ 이차 아니면 미아타도 맘 접을거 같아요 ㅎ 그냥 태어나 2도어 컨버를 타고싶은 로망을 충족해줌과 동시에 수동에 재미까지 줄거같고 거기에 국내에 차와는 차원이 다르게 이쁜 외형 옵션이라...그냥 머리속에는 이차 뿐이네요 ㅎ 그 흰차는 쓱 보고 관심도 안갔습니다 ㅜㅋ', '@goys215 외관 파츠 다 구할 수 있어욬ㅋㅋㅋ 휠은 구하기 어렵겠지만 저거 사이즈가 7j라서 서킷 들어가긴 좀 너무 얇습니다. 달리는 사람들은 보통 타이어 225 끼려고 애프터마켓 8j 사이즈 휠로 교체하더라구요. 관심 주셔서 늘 감사하지만 이쁜 미아타를 사실 돌파구는 정말 다양하게 있으십니다ㅋㅋㅋ', '당신의 열정을 응원합니다', '하 ㅜ너무너무이쁩니다']",[],,https://www.instagram.com/p/BfILg9wBhfK,https://instagram.fprg2-1.fna.fbcdn.net/vp/c8469ff4f0cf563e09ec8f59c0c7094c/5B1F6A93/t51.2885-15/s640x640/sh0.08/e35/27894543_171693480222382_1864878274551742464_n.jpg,BfILg9wBhfK.jpg,2018-02-13 16:38:20
7,mx5,921412,5672196718,jdm.insidestory,https://instagram.fprg2-1.fna.fbcdn.net/vp/e5e5de867f990854dd4e833fc0124b32/5B0BC2B6/t51.2885-19/s150x150/26073000_1969120176673588_5333989424717889536_n.jpg,BfGNblTnJCX,NA,1,681,not_a_video,"🌸: @lil_black_roadster | #mx5
Go to the story for the WALLPAPERS!!
-
-
-
-
-
-
#jdm #jdmgram #car #drift #hoonigan #rx7  #honda #civic #paulwalker #initiald #s13 #nsx #forza #gtr #sti #supra #skylıne #r34 #dc2 #boost #ae86 #s2000 #240z #hellaflush #stancenation #speedhunters
#2jz #vtec #turbo","['nsx', 's2000', 'r34', 'car', 'gtr', 'stancenation', 'sti', 'speedhunters', 'rx7', 'turbo', 'jdm', 'mx5', 's13', 'boost', 'honda', 'paulwalker', 'hellaflush', 'skylne', 'ae86', 'dc2', '2jz', '240z', 'supra', 'civic', 'forza', 'hoonigan', 'jdmgram', 'initiald', 'vtec', 'drift']",['5522846718'],['Dream car 😍'],[],,https://www.instagram.com/p/BfGNblTnJCX,https://instagram.fprg2-1.fna.fbcdn.net/vp/ab905099c70e94366c5282e82d76960f/5B1D1DAB/t51.2885-15/s640x640/sh0.08/e35/27581588_218193798740434_8683311411557826560_n.jpg,BfGNblTnJCX.jpg,2018-02-13 16:38:20
8,mx5,921412,287564132,jrgaucho,https://instagram.fprg2-1.fna.fbcdn.net/vp/2cdf36b01d8b227794142f5226f6c0a9/5B0BA7B6/t51.2885-19/s150x150/23417228_162680860993137_5494021576909127680_n.jpg,BfHxD-GAgMQ,NA,2,30,not_a_video,"#miata, #eunos, #miatagang #miatadrift #miataturbo #miatamigos #miatamafia #miatasonly #miatagram #jdm #zoomzoom #mazdaspeed #namiata #mx5 #1.6","['16', 'miatasonly', 'miatamigos', 'namiata', 'miata', 'miatagang', 'miatagram', 'mazdaspeed', 'miatamafia', 'jdm', 'mx5', 'miatadrift', 'eunos', 'miataturbo', 'zoomzoom']","['187436459', '3154330488']","['❤️u.', '🤔🚘😉💜']",[],,https://www.instagram.com/p/BfHxD-GAgMQ,https://instagram.fprg2-1.fna.fbcdn.net/vp/dc63bdf6d6c03a0887f284874e98f9d7/5B1CD396/t51.2885-15/s640x640/sh0.08/e35/27576340_145598109454417_5256031331594272768_n.jpg,BfHxD-GAgMQ.jpg,2018-02-13 16:38:21
9,mx5,921412,337154939,harry_archer95,https://instagram.fprg2-1.fna.fbcdn.net/vp/aa7a6811e2fbc814c91bb94e92aa8467/5B197538/t51.2885-19/s150x150/11875444_527830867370128_1019973931_a.jpg,BfF4MdIhoxr,NA,1,22,not_a_video,Cant believe its been a year since i brought this turd lol. its come a long way and its slowly being destroyed again 😂 wonder if it will last another year 🤔 #mazda #mx5 #miata #drift #badtasteracing #projectcar,"['miata', 'mazda', 'mx5', 'badtasteracing', 'projectcar', 'drift']",['249570415'],['😂 🤦🏽\u200d♂️ Mr meces'],[],,https://www.instagram.com/p/BfF4MdIhoxr,https://instagram.fprg2-1.fna.fbcdn.net/vp/e0e297c868d9274a7271bbab57973cc7/5B25A624/t51.2885-15/sh0.08/e35/p640x640/27878515_322927541552131_7691919456540295168_n.jpg,BfF4MdIhoxr.jpg,2018-02-13 16:38:22
10,mx5,921412,3119214226,calipuro,https://instagram.fprg2-1.fna.fbcdn.net/vp/9419f7c2a36f388c138f0dc88f512f0c/5B033AE6/t51.2885-19/s150x150/26871423_342275786275168_5568079594914840576_n.jpg,BfH29mNg9bZ,"Hoover Dam, Nevada / Arizona State Line",2,22,not_a_video,tourist,[],"['3119214226', '344230169']","['righteous', '#California #summer #desert #roadtrip #beach  #girlboss #inspiration #life #californiadreaming #lifestyle  #ca #food #la #westcoast #entrepreneur  #scenic #travel #home  #music #daydreaming  #losangeles #surf  #bestcoast #mx5 #nevada  #sky #tourist #art #hooverdam #arizona']","['hooverdam', 'roadtrip', 'bestcoast', 'food', 'tourist', 'surf', 'losangeles', 'inspiration', 'desert', 'mx5', 'entrepreneur', 'westcoast', 'beach', 'la', 'california', 'lifestyle', 'californiadreaming', 'art', 'arizona', 'nevada', 'music', 'daydreaming', 'home', 'sky', 'ca', 'scenic', 'life', 'travel', 'girlboss', 'summer']",,https://www.instagram.com/p/BfH29mNg9bZ,https://instagram.fprg2-1.fna.fbcdn.net/vp/26d8ed836eaa43aee97c5ad9444274bb/5B25B41B/t51.2885-15/s640x640/sh0.08/e35/27581230_309116402825893_8781636441462538240_n.jpg,BfH29mNg9bZ.jpg,2018-02-13 16:38:23
